question_id,category,question,ground_truth,generated_answer,source_url,reciprocal_rank,rouge_l_f1,bert_score_f1
q001,factual,What is Julius Caesar known for?,Gaius Julius Caesar[a] (12 or 13 July 100 BC – 15 March 44 BC) was a Roman general and statesman.,Gaius Julius Caesar[a] (12 or 13 July 100 BC – 15 March 44 BC) was a Roman general and statesman.,https://en.wikipedia.org/wiki/Julius_Caesar,1.0,1.0,1.0
q002,factual,What is Forum Hadriani known for?,"Forum Hadriani, in the modern town of Voorburg, was the northernmost Roman city on the European continent and the second oldest city of the Netherlands.","Forum Hadriani, in the modern town of Voorburg, was the northernmost Roman city on the European continent and the second oldest city of the Netherlands.",https://en.wikipedia.org/wiki/Forum_Hadriani,1.0,1.0,1.0
q003,factual,Where is First-wave feminism located?,First-wave feminism was a period of feminist activity and thought that occurred during the 19th and early 20th century throughout the Western world.,First-wave feminism was a period of feminist activity and thought that occurred during the 19th and early 20th century throughout the Western world.,https://en.wikipedia.org/wiki/First-wave_feminism,1.0,1.0,1.0
q004,factual,What does Quarters! refer to?,Quarters! is the sixth studio album by Australian psychedelic rock band King Gizzard & the Lizard Wizard.,Quarters! is the sixth studio album by Australian psychedelic rock band King Gizzard & the Lizard Wizard.,https://en.wikipedia.org/wiki/Quarters!,1.0,1.0,1.0000003576278687
q005,factual,What does Abraham Lincoln refer to?,"Abraham Lincoln[b] (February 12, 1809 – April 15, 1865) was the 16th president of the United States, serving from 1861 until his assassination in 1865.","Abraham Lincoln[b] (February 12, 1809 – April 15, 1865) was the 16th president of the United States, serving from 1861 until his assassination in 1865.",https://en.wikipedia.org/wiki/Abraham_Lincoln,1.0,1.0,1.0
q006,factual,What does DNA refer to?,Deoxyribonucleic acid (pronunciationⓘ; DNA) is a polymer composed of two polynucleotide chains that coil around each other to form a double helix.,Deoxyribonucleic acid (pronunciationⓘ; DNA) is a polymer composed of two polynucleotide chains that coil around each other to form a double helix.,https://en.wikipedia.org/wiki/DNA,1.0,1.0,1.0
q007,factual,What does Sondershausen Palace refer to?,From an architectural and art historical point of view Sondershausen Palace can be considered one of the most important palace complexes in Thuringia.,From an architectural and art historical point of view Sondershausen Palace can be considered one of the most important palace complexes in Thuringia.,https://en.wikipedia.org/wiki/Sondershausen_Palace,1.0,1.0,1.0000007152557373
q008,factual,What is Holm Jalgpallipark known for?,"Holm Jalgpallipark (English: Holm Football Park) is a football stadium in Tartu, Estonia.","Holm Jalgpallipark (English: Holm Football Park) is a football stadium in Tartu, Estonia.",https://en.wikipedia.org/wiki/Holm_Jalgpallipark,1.0,1.0,0.9999998211860657
q009,factual,What is Biathlon World Championships 2008 known for?,"The 42nd Biathlon World Championships were held in Östersund, Sweden from 8 to 17 February 2008.","The 42nd Biathlon World Championships were held in Östersund, Sweden from 8 to 17 February 2008.",https://en.wikipedia.org/wiki/Biathlon_World_Championships_2008,1.0,1.0,0.9999996423721313
q010,factual,What is German submarine U-877 known for?,German submarine U-877 was a Type IXC/40 U-boat of Nazi Germany's Kriegsmarine during the Second World War.,German submarine U-877 was a Type IXC/40 U-boat of Nazi Germany's Kriegsmarine during the Second World War.,https://en.wikipedia.org/wiki/German_submarine_U-877,1.0,1.0,0.9999998211860657
q011,factual,When was Cleopatra established/born?,"Cleopatra VII Thea Philopator (Koine Greek: Κλεοπάτρα Θεά Φιλοπάτωρ, lit.","Cleopatra VII Thea Philopator (Koine Greek: Κλεοπάτρα Θεά Φιλοπάτωρ, lit.",https://en.wikipedia.org/wiki/Cleopatra,1.0,1.0,0.9999998211860657
q012,factual,What is Zenepos totolirata known for?,"Daphnella totolirata Suter, 1908 Zenepos totolirata is a species of sea snail, a marine gastropod mollusk in the family Raphitomidae.","Daphnella totolirata Suter, 1908 Zenepos totolirata is a species of sea snail, a marine gastropod mollusk in the family Raphitomidae.",https://en.wikipedia.org/wiki/Zenepos_totolirata,1.0,1.0,1.0
q013,factual,Who is The Dangerous Dub?,The Dangerous Dub is a 1926 American silent Western film.,The Dangerous Dub is a 1926 American silent Western film.,https://en.wikipedia.org/wiki/The_Dangerous_Dub,1.0,1.0,1.0
q014,factual,When was Baccharis articulata established/born?,Baccharis articulata is a species of shrub in the family Asteraceae.,Baccharis articulata is a species of shrub in the family Asteraceae.,https://en.wikipedia.org/wiki/Baccharis_articulata,1.0,1.0,1.0000003576278687
q015,factual,What does Renaissance refer to?,"The Renaissance (UK: /rɪˈneɪsəns/ rin-AY-sənss, US: /ˈrɛnəsɑːns/ ⓘ REN-ə-sahnss)[a] is a European period of history and cultural movement, very roughly defined as covering the 14th through 17th centuries, though sometimes more narrowly defined for instance as only covering the 15th through 16th centuries.","The Renaissance (UK: /rɪˈneɪsəns/ rin-AY-sənss, US: /ˈrɛnəsɑːns/ ⓘ REN-ə-sahnss)[a] is a European period of history and cultural movement, very roughly defined as covering the 14th through 17th centuries, though sometimes more narrowly defined for instance as only covering the 15th through 16th centuries.",https://en.wikipedia.org/wiki/Renaissance,1.0,1.0,0.9999998211860657
q016,factual,What does MTV Europe Music Award for Best Spanish Act refer to?,The following is a list of the MTV Europe Music Award winners and nominees for Best Spanish Act.,The following is a list of the MTV Europe Music Award winners and nominees for Best Spanish Act.,https://en.wikipedia.org/wiki/MTV_Europe_Music_Award_for_Best_Spanish_Act,1.0,1.0,1.0
q017,factual,What is Jeff Bezos known for?,"Jeffrey Preston Bezos (/ˈbeɪzoʊs/ BAY-zohss; né Jorgensen; born January 12, 1964) is an American businessman best known as the founder, executive chairman, and former president and CEO of Amazon, the world's largest e-commerce and cloud computing company.","Jeffrey Preston Bezos (/ˈbeɪzoʊs/ BAY-zohss; né Jorgensen; born January 12, 1964) is an American businessman best known as the founder, executive chairman, and former president and CEO of Amazon, the world's largest e-commerce and cloud computing company.",https://en.wikipedia.org/wiki/Jeff_Bezos,1.0,1.0,1.0
q018,factual,What is Ancient Greece known for?,"Ancient Greece (Ancient Greek: Ἑλλάς, romanized: Hellás) was a northeastern Mediterranean civilization, existing from the Greek Dark Ages of the 12th–9th centuries BC to the end of classical antiquity (c.","Ancient Greece (Ancient Greek: Ἑλλάς, romanized: Hellás) was a northeastern Mediterranean civilization, existing from the Greek Dark Ages of the 12th–9th centuries BC to the end of classical antiquity (c.",https://en.wikipedia.org/wiki/Ancient_Greece,1.0,1.0,0.9999996423721313
q019,factual,What does Prakash Man Singh refer to?,Prakash Man Singh (Nepali: प्रकाश मान सिंह) is a Nepalese politician and a leader of the Nepali Congress and former Deputy Prime Minister of Nepal.,Prakash Man Singh (Nepali: प्रकाश मान सिंह) is a Nepalese politician and a leader of the Nepali Congress and former Deputy Prime Minister of Nepal.,https://en.wikipedia.org/wiki/Prakash_Man_Singh,1.0,1.0,1.0
q020,factual,What is Oleksandr Maksymov known for?,Oleksandr Maksymov (Ukrainian: Олександр Олександрович Максимов; born 13 February 1985) is a Ukrainian former footballer.,Oleksandr Maksymov (Ukrainian: Олександр Олександрович Максимов; born 13 February 1985) is a Ukrainian former footballer.,https://en.wikipedia.org/wiki/Oleksandr_Maksymov,1.0,1.0,1.0
q021,factual,What does Harishchandra (1932 film) refer to?,Harishchandra is a 1932 Tamil mythological film directed by Raja Chandrasekhar and Sarvottam Badami for Sagar Movietone.,Harishchandra is a 1932 Tamil mythological film directed by Raja Chandrasekhar and Sarvottam Badami for Sagar Movietone.,https://en.wikipedia.org/wiki/Harishchandra_(1932_film),1.0,1.0,0.9999998211860657
q022,factual,What is 2018 Rhode Island Senate election known for?,Dominick J.,Dominick J.,https://en.wikipedia.org/wiki/2018_Rhode_Island_Senate_election,1.0,1.0,0.9999991059303284
q023,factual,What does Natterer See refer to?,The Natterer See (or Lake Natters) is located 2.,The Natterer See (or Lake Natters) is located 2.,https://en.wikipedia.org/wiki/Natterer_See,1.0,1.0,1.0000003576278687
q024,factual,Where is List of hesperiid genera:B located?,The large Lepidoptera family Hesperiidae (skipper butterflies) contains the following genera: A B C D E F G H I J K L M N O P Q R S T U V W X Y Z.,The large Lepidoptera family Hesperiidae (skipper butterflies) contains the following genera: A B C D E F G H I J K L M N O P Q R S T U V W X Y Z.,https://en.wikipedia.org/wiki/List_of_hesperiid_genera:B,1.0,1.0,1.0
q025,factual,Who is Human brain?,"The human brain is the central organ of the nervous system, and with the spinal cord, comprises the central nervous system.","The human brain is the central organ of the nervous system, and with the spinal cord, comprises the central nervous system.",https://en.wikipedia.org/wiki/Human_brain,1.0,1.0,1.0
q026,factual,What does Martin Luther King Jr. refer to?,Martin Luther King Jr.,Martin Luther King Jr.,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,1.0,1.0,0.9999996423721313
q027,factual,When was United States established/born?,"The United States of America (USA), also known as the United States (U.","The United States of America (USA), also known as the United States (U.",https://en.wikipedia.org/wiki/United_States,1.0,1.0,1.0000003576278687
q028,factual,Who is József Ursz?,József Ursz (born 27 July 1982) is a Hungarian footballer who plays for Békéscsabai Előre FC as midfielder.,József Ursz (born 27 July 1982) is a Hungarian footballer who plays for Békéscsabai Előre FC as midfielder.,https://en.wikipedia.org/wiki/J%C3%B3zsef_Ursz,1.0,1.0,0.9999998211860657
q029,factual,When was 1954 in music established/born?,This is a list of notable events in music that took place in the year 1954.,This is a list of notable events in music that took place in the year 1954.,https://en.wikipedia.org/wiki/1954_in_music,1.0,1.0,1.0
q030,factual,Where is Vaccination located?,Vaccination is the administration of a vaccine to help the immune system develop immunity from a disease.,Vaccination is the administration of a vaccine to help the immune system develop immunity from a disease.,https://en.wikipedia.org/wiki/Vaccination,1.0,1.0,1.0
q031,factual,Who is Miloš Filipović?,Miloš Filipović (Serbian Cyrillic: Милош Филиповић; born 9 May 1990) is a Serbian professional footballer who plays as a midfielder for Kolubara.,Miloš Filipović (Serbian Cyrillic: Милош Филиповић; born 9 May 1990) is a Serbian professional footballer who plays as a midfielder for Kolubara.,https://en.wikipedia.org/wiki/Milo%C5%A1_Filipovi%C4%87,1.0,1.0,1.0
q032,factual,What is Tour 20 años known for?,Tour 20 años (English: 20 Years Tour) is a concert tour by bachata superstar Juan Luis Guerra and 4:40 to support his 9th studio album Para Ti and to celebrate the 20th anniversary of his debut.,Tour 20 años (English: 20 Years Tour) is a concert tour by bachata superstar Juan Luis Guerra and 4:40 to support his 9th studio album Para Ti and to celebrate the 20th anniversary of his debut.,https://en.wikipedia.org/wiki/Tour_20_a%C3%B1os,1.0,1.0,1.0
q033,factual,Who is Le Jardin?,Le Jardin (French pronunciation: [lə ʒaʁdɛ̃]; Occitan: Lo Jardenc) is a former commune in the Corrèze department in central France.,Le Jardin (French pronunciation: [lə ʒaʁdɛ̃]; Occitan: Lo Jardenc) is a former commune in the Corrèze department in central France.,https://en.wikipedia.org/wiki/Le_Jardin,1.0,1.0,0.9999992847442627
q034,factual,What does Theory of relativity refer to?,"The theory of relativity comprises two physics theories by Albert Einstein: special relativity and general relativity, proposed and published in 1905 and 1915, respectively.","The theory of relativity comprises two physics theories by Albert Einstein: special relativity and general relativity, proposed and published in 1905 and 1915, respectively.",https://en.wikipedia.org/wiki/Theory_of_relativity,1.0,1.0,1.0
q035,factual,Where is Black hole located?,"A black hole is an astronomical body so compact that its gravity prevents anything, including light, from escaping.","A black hole is an astronomical body so compact that its gravity prevents anything, including light, from escaping.",https://en.wikipedia.org/wiki/Black_hole,1.0,1.0,1.0
q036,factual,Who is Nemozoma?,"Nemozoma is a genus of beetles belonging to the family Trogossitidae, historically often spelled as Nemosoma.","Nemozoma is a genus of beetles belonging to the family Trogossitidae, historically often spelled as Nemosoma.",https://en.wikipedia.org/wiki/Nemozoma,1.0,1.0,1.0
q037,factual,What is The Scream known for?,The Scream is an art composition created by Norwegian artist Edvard Munch in 1893.,The Scream is an art composition created by Norwegian artist Edvard Munch in 1893.,https://en.wikipedia.org/wiki/The_Scream,1.0,1.0,0.9999998211860657
q038,factual,Where is Hatsukoi Cider / Deep Mind located?,"""Hatsukoi Cider"" (初恋サイダー; lit.","""Hatsukoi Cider"" (初恋サイダー; lit.",https://en.wikipedia.org/wiki/Hatsukoi_Cider_/_Deep_Mind,1.0,1.0,0.9999996423721313
q039,factual,When was Petra established/born?,"Petra (Arabic: ٱلْبَتْراء‎, romanized: Al-Batrāʾ; Ancient Greek: Πέτρα, lit.","Petra (Arabic: ٱلْبَتْراء‎, romanized: Al-Batrāʾ; Ancient Greek: Πέτρα, lit.",https://en.wikipedia.org/wiki/Petra,1.0,1.0,1.0
q040,factual,What does Anambra waxbill refer to?,The Anambra waxbill (Estrilda poliopareia) is a species of estrildid finch found in wetter land of southern Nigeria and Benin.,The Anambra waxbill (Estrilda poliopareia) is a species of estrildid finch found in wetter land of southern Nigeria and Benin.,https://en.wikipedia.org/wiki/Anambra_waxbill,1.0,1.0,1.0
